variable,n_missing,pct_missing
pool_qc,1453,99.52
misc_feature,1406,96.3
alley,1369,93.77
fence,1179,80.75
fireplace_qu,690,47.26
lot_frontage,259,17.74
garage_type,81,5.55
garage_yr_blt,81,5.55
garage_finish,81,5.55
garage_qual,81,5.55
garage_cond,81,5.55
bsmt_exposure,38,2.6
bsmt_fin_type2,38,2.6
bsmt_qual,37,2.53
bsmt_cond,37,2.53
bsmt_fin_type1,37,2.53
mas_vnr_type,8,0.55
mas_vnr_area,8,0.55
electrical,1,0.07
id,0,0
ms_sub_class,0,0
ms_zoning,0,0
lot_area,0,0
street,0,0
lot_shape,0,0
land_contour,0,0
utilities,0,0
lot_config,0,0
land_slope,0,0
neighborhood,0,0
condition1,0,0
condition2,0,0
bldg_type,0,0
house_style,0,0
overall_qual,0,0
overall_cond,0,0
year_built,0,0
year_remod_add,0,0
roof_style,0,0
roof_matl,0,0
exterior1st,0,0
exterior2nd,0,0
exter_qual,0,0
exter_cond,0,0
foundation,0,0
bsmt_fin_sf1,0,0
bsmt_fin_sf2,0,0
bsmt_unf_sf,0,0
total_bsmt_sf,0,0
heating,0,0
heating_qc,0,0
central_air,0,0
x1st_flr_sf,0,0
x2nd_flr_sf,0,0
low_qual_fin_sf,0,0
gr_liv_area,0,0
bsmt_full_bath,0,0
bsmt_half_bath,0,0
full_bath,0,0
half_bath,0,0
bedroom_abv_gr,0,0
kitchen_abv_gr,0,0
kitchen_qual,0,0
tot_rms_abv_grd,0,0
functional,0,0
fireplaces,0,0
garage_cars,0,0
garage_area,0,0
paved_drive,0,0
wood_deck_sf,0,0
open_porch_sf,0,0
enclosed_porch,0,0
x3ssn_porch,0,0
screen_porch,0,0
pool_area,0,0
misc_val,0,0
mo_sold,0,0
yr_sold,0,0
sale_type,0,0
sale_condition,0,0
sale_price,0,0
log_price,0,0
