variable,loading,abs_loading
x2nd_flr_sf,0.4300949866242862,0.4300949866242862
bedroom_abv_gr,0.35992526982754286,0.35992526982754286
tot_rms_abv_grd,0.3246385603129381,0.3246385603129381
bsmt_fin_sf1,-0.29427268358541103,0.29427268358541103
bsmt_full_bath,-0.29179584616138854,0.29179584616138854
gr_liv_area,0.25026498137411296,0.25026498137411296
half_bath,0.22237838024998977,0.22237838024998977
total_bsmt_sf,-0.21654691921655372,0.21654691921655372
year_built,-0.19771149528371063,0.19771149528371063
kitchen_abv_gr,0.17265291179994705,0.17265291179994705
ms_sub_class,0.16727419072462457,0.16727419072462457
x1st_flr_sf,-0.16041479591083296,0.16041479591083296
